,brand,model,vehicle_age,km_driven,seller_type,fuel_type,transmission_type,mileage,engine,max_power,seats,selling_price,price_lakh
0,Maruti,Alto,9.0,120000.0,Individual,Petrol,Manual,19.7,796.0,46.3,5.0,120000.0,1.2
1,Hyundai,Grand,5.0,20000.0,Individual,Petrol,Manual,18.9,1197.0,82.0,5.0,550000.0,5.5
2,Hyundai,i20,11.0,60000.0,Individual,Petrol,Manual,17.0,1197.0,80.0,5.0,215000.0,2.15
3,Maruti,Alto,9.0,37000.0,Individual,Petrol,Manual,20.92,998.0,67.1,5.0,226000.0,2.26
4,Ford,Ecosport,6.0,30000.0,Dealer,Diesel,Manual,22.77,1498.0,98.59,5.0,570000.0,5.7
5,Maruti,Wagon R,8.0,35000.0,Individual,Petrol,Manual,18.9,998.0,67.1,5.0,350000.0,3.5
6,Hyundai,i10,8.0,40000.0,Dealer,Petrol,Manual,20.36,1197.0,78.9,5.0,315000.0,3.15
7,Maruti,Wagon R,3.0,17512.0,Dealer,Petrol,Manual,20.51,998.0,67.04,5.0,410000.0,4.1
8,Hyundai,Venue,2.0,20000.0,Individual,Petrol,Automatic,18.15,998.0,118.35,5.0,1050000.0,10.5
9,Maruti,Swift,4.0,28321.0,Dealer,Petrol,Manual,16.6,1197.0,85.0,5.0,511000.0,5.11
10,Hyundai,Verna,8.0,65278.0,Dealer,Diesel,Manual,22.32,1582.0,126.32,5.0,425000.0,4.25
11,Renault,Duster,5.0,50000.0,Individual,Diesel,Manual,19.64,1461.0,108.45,5.0,750000.0,7.5
12,Mini,Cooper,4.0,6000.0,Dealer,Petrol,Automatic,14.41,1998.0,189.08,5.0,3250000.0,32.5
13,Maruti,Ciaz,5.0,76000.0,Dealer,Diesel,Manual,28.09,1248.0,88.5,5.0,650000.0,6.5
14,Maruti,Swift,5.0,20000.0,Individual,Diesel,Manual,25.2,1248.0,74.0,5.0,627000.0,6.27
15,Mercedes-Benz,C-Class,7.0,65000.0,Dealer,Diesel,Automatic,19.27,2143.0,170.0,5.0,1425000.0,14.25
16,Maruti,Swift,7.0,62200.0,Dealer,Diesel,Manual,28.4,1248.0,74.0,5.0,425000.0,4.25
17,Toyota,Innova,8.0,110000.0,Individual,Diesel,Manual,12.99,2494.0,100.6,8.0,605000.0,6.05
18,Maruti,Baleno,6.0,20000.0,Individual,Petrol,Manual,21.4,1248.0,83.1,5.0,600000.0,6.0
19,Maruti,Swift Dzire,5.0,40000.0,Individual,Petrol,Manual,20.85,1197.0,83.14,5.0,575000.0,5.75
20,Volkswagen,Vento,8.0,47000.0,Dealer,Petrol,Manual,16.09,1598.0,103.2,5.0,425000.0,4.25
21,Maruti,Alto,8.0,25000.0,Dealer,Petrol,Manual,20.92,998.0,88.5,5.0,230000.0,2.3
22,Hyundai,Creta,2.0,15000.0,Individual,Diesel,Manual,19.67,1582.0,126.2,5.0,1225000.0,12.25
23,Honda,City,6.0,50000.0,Individual,Petrol,Manual,17.4,1497.0,117.3,5.0,750000.0,7.5
24,Mahindra,Bolero,10.0,25000.0,Dealer,Diesel,Manual,13.6,1248.0,63.0,7.0,350000.0,3.5
25,Maruti,Swift Dzire,6.0,90000.0,Individual,Diesel,Manual,26.59,1248.0,74.0,5.0,600000.0,6.0
26,Maruti,Swift Dzire,8.0,45000.0,Dealer,Diesel,Manual,26.59,1248.0,74.0,5.0,390000.0,3.9
27,Honda,City,14.0,77253.0,Dealer,Petrol,Manual,17.7,1497.0,78.0,5.0,145000.0,1.45
28,Hyundai,i20,3.0,25000.0,Individual,Petrol,Manual,17.19,1197.0,81.86,5.0,700000.0,7.0
29,Unknown,Fortuner,8.0,110000.0,Individual,Diesel,Manual,13.0,2982.0,168.5,7.0,1150000.0,11.5
30,Renault,Unknown,4.0,30000.0,Individual,Petrol,Manual,23.01,999.0,67.0,5.0,340000.0,3.4
31,Unknown,Amaze,5.0,39993.0,Dealer,Petrol,Manual,18.6,1199.0,88.76,5.0,465000.0,4.65
