Unnamed: 0,car_name,brand,model,vehicle_age,km_driven,seller_type,fuel_type,transmission_type,mileage,engine,max_power,seats,selling_price
0.0,Maruti Alto,Maruti,Alto,9.0,120000.0,Individual,Petrol,Manual,19.7,796.0,46.3,5.0,120000.0
1.0,Hyundai Grand,Hyundai,Grand,5.0,20000.0,Individual,Petrol,Manual,18.9,1197.0,82.0,5.0,550000.0
2.0,Hyundai i20,Hyundai,i20,11.0,60000.0,Individual,Petrol,Manual,17.0,1197.0,80.0,5.0,215000.0
3.0,Maruti Alto,Maruti,Alto,9.0,37000.0,Individual,Petrol,Manual,20.92,998.0,67.1,5.0,226000.0
,Ford Ecosport,Ford,Ecosport,6.0,30000.0,Dealer,Diesel,Manual,22.77,1498.0,98.59,5.0,570000.0
,Maruti Wagon R,Maruti,Wagon R,8.0,35000.0,Individual,Petrol,,18.9,998.0,67.1,5.0,350000.0
6.0,Hyundai i10,Hyundai,i10,8.0,40000.0,Dealer,Petrol,Manual,20.36,1197.0,78.9,5.0,315000.0
,Maruti Wagon R,Maruti,Wagon R,3.0,17512.0,Dealer,Petrol,Manual,20.51,998.0,67.04,5.0,410000.0
8.0,Hyundai Venue,Hyundai,Venue,2.0,20000.0,Individual,Petrol,Automatic,18.15,998.0,118.35,5.0,1050000.0
12.0,Maruti Swift,Maruti,Swift,4.0,28321.0,Dealer,Petrol,Manual,16.6,1197.0,85.0,5.0,511000.0
,Hyundai Verna,Hyundai,Verna,8.0,65278.0,Dealer,Diesel,Manual,22.32,1582.0,126.32,5.0,425000.0
15.0,Renault Duster,Renault,Duster,5.0,50000.0,Individual,Diesel,Manual,19.64,1461.0,108.45,5.0,750000.0
16.0,Mini Cooper,Mini,Cooper,4.0,6000.0,Dealer,Petrol,Automatic,14.41,1998.0,189.08,5.0,3250000.0
17.0,Maruti Ciaz,Maruti,Ciaz,5.0,76000.0,Dealer,Diesel,Manual,28.09,1248.0,88.5,5.0,650000.0
18.0,Maruti Swift,Maruti,Swift,5.0,20000.0,Individual,Diesel,Manual,25.2,1248.0,74.0,5.0,627000.0
19.0,Mercedes-Benz C-Class,Mercedes-Benz,C-Class,7.0,65000.0,Dealer,Diesel,Automatic,19.27,2143.0,170.0,5.0,1425000.0
20.0,Maruti Swift,Maruti,Swift,7.0,62200.0,Dealer,Diesel,Manual,28.4,1248.0,74.0,5.0,425000.0
,Toyota Innova,Toyota,Innova,8.0,110000.0,Individual,Diesel,Manual,12.99,2494.0,100.6,8.0,605000.0
22.0,Maruti Baleno,Maruti,Baleno,6.0,20000.0,Individual,Petrol,Manual,21.4,,83.1,5.0,600000.0
23.0,Maruti Swift Dzire,Maruti,Swift Dzire,5.0,40000.0,Individual,,Manual,20.85,1197.0,83.14,5.0,575000.0
25.0,Volkswagen Vento,Volkswagen,Vento,8.0,47000.0,Dealer,Petrol,Manual,16.09,1598.0,103.2,5.0,425000.0
,Maruti Alto,Maruti,Alto,8.0,25000.0,Dealer,Petrol,Manual,20.92,998.0,,5.0,230000.0
27.0,Hyundai Creta,Hyundai,Creta,2.0,15000.0,Individual,Diesel,Manual,19.67,1582.0,126.2,5.0,1225000.0
,Honda City,Honda,City,6.0,50000.0,Individual,Petrol,Manual,17.4,1497.0,117.3,5.0,750000.0
30.0,Mahindra Bolero,Mahindra,Bolero,10.0,25000.0,,Diesel,Manual,13.6,,63.0,7.0,350000.0
31.0,Maruti Swift Dzire,Maruti,Swift Dzire,6.0,90000.0,Individual,Diesel,Manual,26.59,1248.0,74.0,,600000.0
32.0,Maruti Swift Dzire,Maruti,Swift Dzire,8.0,45000.0,Dealer,Diesel,Manual,26.59,1248.0,74.0,5.0,390000.0
,Honda City,Honda,City,14.0,77253.0,Dealer,Petrol,Manual,17.7,1497.0,78.0,5.0,145000.0
34.0,,Hyundai,i20,3.0,25000.0,Individual,Petrol,Manual,17.19,1197.0,81.86,5.0,700000.0
,Toyota Fortuner,,Fortuner,8.0,110000.0,Individual,Diesel,Manual,13.0,2982.0,168.5,7.0,1150000.0
36.0,Renault KWID,Renault,,4.0,30000.0,Individual,Petrol,Manual,23.01,999.0,67.0,5.0,340000.0
37.0,Honda Amaze,,Amaze,5.0,39993.0,Dealer,Petrol,Manual,18.6,1199.0,88.76,5.0,465000.0
38.0,Hyundai Santro,Hyundai,Santro,12.0,80000.0,Individual,Petrol,Manual,17.92,1086.0,62.1,5.0,125000.0
39.0,Mahindra XUV500,Mahindra,XUV500,,185000.0,Individual,Diesel,Manual,15.1,2179.0,140.0,7.0,600000.0
40.0,Maruti Swift Dzire,Maruti,Swift Dzire,8.0,90000.0,Individual,Diesel,Manual,23.4,1248.0,74.0,5.0,380000.0
44.0,Hyundai i20,Hyundai,i20,3.0,15000.0,Individual,Diesel,Manual,22.54,1396.0,88.73,5.0,850000.0
45.0,Hyundai i20,Hyundai,i20,3.0,40000.0,Individual,Petrol,,18.6,1197.0,,5.0,598000.0
46.0,Honda City,Honda,City,6.0,31180.0,Dealer,Petrol,Automatic,18.0,1497.0,117.3,5.0,700000.0
,Maruti Swift Dzire,Maruti,Swift Dzire,7.0,56000.0,Dealer,Diesel,Manual,23.4,1248.0,74.0,5.0,410000.0
53.0,Maruti Baleno,Maruti,Baleno,5.0,52427.0,Dealer,Petrol,Automatic,21.4,1197.0,83.1,5.0,590000.0
54.0,Mahindra Bolero,Mahindra,Bolero,1.0,40000.0,Individual,Diesel,Manual,21.0,1498.0,74.96,7.0,850000.0
56.0,Mahindra KUV100,Mahindra,KUV100,3.0,17000.0,Individual,Petrol,Manual,18.15,1198.0,82.0,5.0,550000.0
,Maruti Baleno,,Baleno,5.0,22000.0,Dealer,Petrol,Manual,15.4,1590.0,94.0,5.0,
59.0,Maruti Swift Dzire,Maruti,Swift Dzire,,54000.0,Individual,,Manual,20.85,1197.0,,5.0,600000.0
60.0,Maruti Wagon R,Maruti,Wagon R,2.0,10000.0,Individual,Petrol,Manual,20.51,998.0,67.04,5.0,445000.0
61.0,Maruti Ignis,Maruti,Ignis,,20000.0,Individual,Petrol,Manual,20.89,1197.0,81.8,5.0,530000.0
63.0,,Maruti,Wagon R,3.0,53237.0,Trustmark Dealer,CNG,Manual,26.6,998.0,58.16,5.0,410000.0
64.0,Datsun RediGO,Datsun,RediGO,3.0,27263.0,Individual,Petrol,Manual,22.5,999.0,68.0,5.0,350000.0
66.0,Hyundai Verna,Hyundai,Verna,,110000.0,Individual,Diesel,Manual,22.32,1582.0,126.3,,520000.0
67.0,Hyundai i20,Hyundai,i20,5.0,70000.0,Individual,Diesel,Manual,22.54,1396.0,88.73,5.0,750000.0
68.0,Maruti Swift Dzire,Maruti,Swift Dzire,4.0,70000.0,Individual,Diesel,Manual,26.59,1248.0,74.0,5.0,560000.0
71.0,Hyundai i20,Hyundai,i20,2.0,39000.0,Dealer,Petrol,,18.6,1197.0,81.83,5.0,655000.0
72.0,Hyundai Santro,Hyundai,Santro,14.0,56000.0,Dealer,Petrol,Manual,17.8,1086.0,63.0,5.0,125000.0
,Hyundai i20,Hyundai,i20,3.0,34000.0,Individual,Petrol,Manual,18.6,1197.0,81.83,5.0,550000.0
76.0,Mahindra Scorpio,Mahindra,Scorpio,4.0,50000.0,Individual,Diesel,Manual,15.4,1997.0,120.0,7.0,1150000.0
77.0,Volkswagen Vento,Volkswagen,Vento,9.0,77400.0,Individual,Diesel,Manual,20.54,1598.0,103.6,5.0,500000.0
,Mahindra Marazzo,Mahindra,Marazzo,2.0,36000.0,Individual,,Manual,17.3,1497.0,121.0,7.0,990000.0
79.0,Hyundai Verna,Hyundai,Verna,8.0,47876.0,Dealer,Diesel,Manual,25.0,1493.0,113.42,5.0,551000.0
,Mahindra XUV500,Mahindra,XUV500,3.0,21500.0,Individual,Diesel,Automatic,15.1,2179.0,152.87,7.0,1650000.0
,Hyundai Grand,Hyundai,Grand,6.0,75000.0,Dealer,Diesel,Manual,24.0,1120.0,70.0,5.0,350000.0
82.0,Ford Aspire,Ford,Aspire,4.0,58000.0,Dealer,Petrol,Manual,18.16,1196.0,86.8,5.0,500000.0
83.0,Maruti Swift Dzire,Maruti,Swift Dzire,3.0,30000.0,Individual,Petrol,Manual,21.21,1197.0,81.8,5.0,575000.0
84.0,Hyundai Grand,Hyundai,Grand,3.0,50000.0,Individual,Diesel,Manual,24.0,1186.0,73.97,5.0,545000.0
85.0,Ford Figo,Ford,Figo,4.0,19093.0,Trustmark Dealer,Petrol,Manual,18.16,1196.0,86.8,5.0,525000.0
86.0,Honda Amaze,Honda,Amaze,7.0,50000.0,Individual,Petrol,Manual,18.0,1198.0,86.7,5.0,400000.0
87.0,Maruti Wagon R,Maruti,Wagon R,15.0,37000.0,Dealer,Petrol,Manual,14.0,1061.0,64.0,5.0,155000.0
,Maruti Swift Dzire,Maruti,Swift Dzire,5.0,47000.0,Dealer,Diesel,Manual,26.59,,74.0,5.0,545000.0
90.0,Honda City,Honda,City,8.0,70000.0,Individual,Petrol,Manual,16.8,1497.0,116.3,5.0,545000.0
91.0,Renault KWID,Renault,KWID,5.0,25000.0,Individual,Petrol,Manual,25.17,799.0,53.3,5.0,240000.0
92.0,Maruti Vitara,Maruti,,3.0,26000.0,Dealer,Diesel,Manual,24.3,,88.5,5.0,725000.0
93.0,Ford Aspire,Ford,Aspire,4.0,30000.0,Individual,Petrol,Manual,18.16,1196.0,86.8,5.0,480000.0
94.0,Hyundai i20,Hyundai,i20,8.0,15000.0,Individual,Petrol,Manual,18.5,1197.0,82.9,5.0,375000.0
,Maruti Swift,Maruti,Swift,,160000.0,Individual,Diesel,Manual,17.8,1248.0,75.0,5.0,225000.0
,Tata Tiago,Tata,Tiago,,32100.0,Individual,Petrol,Manual,23.84,1199.0,84.0,5.0,400000.0
97.0,Hyundai i20,Hyundai,i20,5.0,22000.0,Dealer,Petrol,Manual,18.5,1197.0,82.9,5.0,550000.0
98.0,Mahindra Scorpio,,Scorpio,5.0,44000.0,Dealer,Diesel,,15.4,2179.0,120.0,7.0,1050000.0
99.0,Volkswagen Polo,Volkswagen,Polo,5.0,78000.0,Dealer,Petrol,Manual,18.78,1198.0,74.0,5.0,450000.0
100.0,Mercedes-Benz C-Class,Mercedes-Benz,C-Class,9.0,74352.0,Dealer,Petrol,Automatic,11.74,1796.0,186.0,5.0,775000.0
101.0,Maruti Wagon R,Maruti,Wagon R,7.0,37000.0,Individual,Petrol,Manual,20.51,998.0,67.04,5.0,350000.0
102.0,Honda City,Honda,City,7.0,69000.0,Dealer,Diesel,Manual,25.1,1498.0,98.6,5.0,550000.0
103.0,Kia Seltos,Kia,Seltos,2.0,12120.0,Individual,Petrol,Manual,16.8,1497.0,113.4,5.0,1080000.0
104.0,Maruti Baleno,Maruti,Baleno,5.0,52000.0,Dealer,Petrol,Manual,21.01,1197.0,81.8,5.0,575000.0
,Toyota Innova,Toyota,Innova,5.0,120000.0,Individual,Diesel,Manual,12.99,2494.0,100.6,8.0,950000.0
